name,url,build_peak_ram_gb,run_peak_ram_gb,peak_disk_gb,build_runtime_seconds,run_runtime_seconds,build_min_ram_gb,run_min_ram_gb,build_min_disk_gb,run_min_disk_gb,build_min_vcpu,run_min_vcpu
facebook_zstd,https://github.com/facebook/zstd,0.34,1.42,0.02,82.77,59.62,2,2,1,1,2,2
flex,https://github.com/uiuc-arc/flex,1.4,1.2,0.9,0.0,0.0,2,2,1,1,2,2
fmtlib_fmt,https://github.com/fmtlib/fmt,0.35,0.3,0.02,0.0,0.0,2,2,1,1,2,2
gluetest,https://github.com/seal-research/gluetest,1.26,1.18,0.27,3.9,5.5,2,2,1,1,2,2
grpc_grpc-go,https://github.com/grpc/grpc-go,1.08,1.03,0.52,53.06,62.0,2,2,1,1,2,2
iamkun_dayjs,https://github.com/iamkun/dayjs,0.1,4.17,0.36,0.0,0.0,8,8,1,1,2,2
jqlang_jq,https://github.com/jqlang/jq,0.22,0.07,0.05,32.82,7.39,2,2,1,1,2,2
mockito_mockito,https://github.com/mockito/mockito,7.82,7.21,1.87,233.43,112.33,8,8,2,2,2,2
mui_material-ui,https://github.com/mui/material-ui,0.28,5.52,1.82,0.0,0.0,2,8,2,2,2,2
nlohmann_json,https://github.com/nlohmann/json,0.9617,0.005,0.0007,2.0,0.0,2,2,1,1,2,2
nushell_nushell,https://github.com/nushell/nushell,9.0417,0.0072,1.5354,116.0,1.0,16,2,2,2,2,1
ponylang_ponyc,https://github.com/ponylang/ponyc,2.3245,2.1077,9.7156,0.0,0.0,4,4,8,8,2,2
probfuzz,https://github.com/uiuc-arc/probfuzz,0.049,0.0244,0.0028,4.0,1.0,2,2,1,1,2,2
rayon-rs_rayon,https://github.com/rayon-rs/rayon,2.6361,0.9615,1.1353,18.0,39.0,4,2,2,2,2,2
rfuse,https://github.com/snu-csl/rfuse,0.0414,0.0287,1.4269,4.0,1.0,2,2,2,2,2,2
serde-rs_serde,https://github.com/serde-rs/serde,0.2634,0.1222,0.1247,12.0,1.0,2,2,1,1,2,2
sharkdp_bat,https://github.com/sharkdp/bat,3.8125,0.0072,0.4182,64.0,0.0,4,2,1,1,2,1
sharkdp_fd,https://github.com/sharkdp/fd,1.7863,0.0072,0.2979,54.0,1.0,2,2,1,1,2,1
simdjson_simdjson,https://github.com/simdjson/simdjson,11.7679,7.404,0.2939,69.0,15.0,16,8,1,1,2,2
sixthsense,https://github.com/uiuc-arc/sixthsense,1.2328,14.8356,2.0679,48.0,307.0,2,16,4,4,2,2
sveltejs_svelte,https://github.com/sveltejs/svelte,0.7781,3.5255,0.2754,5.4,91.69,2,4,1,1,2,2
tokio-rs_bytes,https://github.com/tokio-rs/bytes,0.2388,0.1402,0.1822,14.0,28.0,2,2,1,1,2,2
tokio-rs_tokio,https://github.com/tokio-rs/tokio,0.73,0.1324,5.3131,270.0,33.0,2,2,8,8,2,2
tokio-rs_tracing,https://github.com/tokio-rs/tracing,0.4624,0.0506,1.1885,99.0,1.0,2,2,2,2,2,2
vuejs_core,https://github.com/vuejs/core,1.3253,1.8915,0.327,29.36,7.61,2,2,1,1,2,2
yhirose_cpp-httplib,https://github.com/yhirose/cpp-httplib,1.6788,0.5394,0.0386,150.0,126.0,2,2,1,1,2,2
zeromicro_go-zero,https://github.com/zeromicro/go-zero,1.9193,3.0135,1.5737,45.0,55.0,2,4,2,2,2,2
